timestamp,bin_id,lat,lon,waste_type,fill_level
2025-01-01 00:00:00,0,16.049349,108.232447,paper,0
2025-01-01 00:00:00,1,16.051655,108.24612,paper,4
2025-01-01 00:00:00,2,16.07394,108.200535,plastic,1
2025-01-01 00:00:00,3,16.075408,108.210351,plastic,18
2025-01-01 00:00:00,4,16.052504,108.231602,metal,12
2025-01-01 00:00:00,5,16.060616,108.222433,organic,3
2025-01-01 00:00:00,6,16.051045,108.230157,organic,15
2025-01-01 00:00:00,7,16.061203,108.245478,paper,8
2025-01-01 00:00:00,8,16.060947,108.242048,organic,13
2025-01-01 00:00:00,9,16.076918,108.240417,metal,7
2025-01-01 00:00:00,10,16.050022,108.229231,paper,3
2025-01-01 00:00:00,11,16.072936,108.228415,plastic,2
2025-01-01 00:00:00,12,16.075616,108.243493,organic,8
2025-01-01 00:00:00,13,16.060528,108.241418,paper,16
2025-01-01 00:00:00,14,16.048051,108.222369,organic,13
2025-01-01 00:00:00,15,16.078301,108.209883,plastic,16
2025-01-01 00:00:00,16,16.073661,108.207305,metal,9
2025-01-01 00:00:00,17,16.061932,108.205372,organic,6
2025-01-01 00:00:00,18,16.049558,108.232641,metal,18
2025-01-01 00:00:00,19,16.040552,108.234367,metal,16
2025-01-01 00:00:00,20,16.040558,108.202618,metal,15
2025-01-01 00:00:00,21,16.040312,108.21319,metal,20
2025-01-01 00:00:00,22,16.053302,108.206434,plastic,2
2025-01-01 00:00:00,23,16.066687,108.24606,metal,16
2025-01-01 00:00:00,24,16.075745,108.212543,metal,3
2025-01-01 00:00:00,25,16.069915,108.229101,organic,4
2025-01-01 00:00:00,26,16.054459,108.233217,plastic,17
2025-01-01 00:00:00,27,16.073476,108.207721,paper,6
2025-01-01 00:00:00,28,16.062903,108.218438,organic,15
2025-01-01 00:00:00,29,16.053285,108.243371,metal,14
2025-01-01 00:00:00,30,16.063499,108.229964,organic,9
2025-01-01 00:00:00,31,16.066972,108.218299,plastic,1
2025-01-01 00:00:00,32,16.070944,108.231319,metal,1
2025-01-01 00:00:00,33,16.076459,108.233761,paper,16
2025-01-01 00:00:00,34,16.072907,108.246755,plastic,8
2025-01-01 00:00:00,35,16.045375,108.22192,metal,19
2025-01-01 00:00:00,36,16.060902,108.22837,paper,15
2025-01-01 00:00:00,37,16.07822,108.209445,organic,7
2025-01-01 00:00:00,38,16.047819,108.246602,metal,3
2025-01-01 00:00:00,39,16.078971,108.204843,paper,12
2025-01-01 00:00:00,40,16.056528,108.249324,plastic,8
2025-01-01 00:00:00,41,16.047893,108.202008,plastic,15
2025-01-01 00:00:00,42,16.077701,108.249977,metal,5
2025-01-01 00:00:00,43,16.051199,108.201983,paper,19
2025-01-01 00:00:00,44,16.068533,108.233936,metal,8
2025-01-01 00:00:00,45,16.045424,108.204301,metal,3
2025-01-01 00:00:00,46,16.054592,108.243394,paper,12
2025-01-01 00:00:00,47,16.063694,108.20329,organic,7
2025-01-01 00:00:00,48,16.077311,108.241461,plastic,17
2025-01-01 00:00:00,49,16.062219,108.22665,paper,5
2025-01-01 06:00:00,0,16.049349,108.232447,paper,24
